,id,price,date_stamp,journal_id
396,9087,2200.0,2016-08-11,0968-4328
397,9088,3000.0,2016-08-11,0266-6138
398,9089,2200.0,2016-08-11,1567-7249
399,9090,3000.0,2016-08-11,1286-0115
400,9091,3000.0,2016-08-11,1340-3540
401,9092,1500.0,2016-08-11,2452-0748
402,9093,2200.0,2016-08-11,1476-5586
403,9094,3000.0,2016-08-11,0028-3770
404,9095,2400.0,2016-08-11,0925-2312
405,9096,2000.0,2016-08-11,2214-7845
406,9097,2600.0,2016-08-11,1053-8119
407,9098,5000.0,2016-08-11,0896-6273
408,9099,1700.0,2016-08-11,0143-4179
409,9100,2600.0,2016-08-11,0028-3908
410,9101,1700.0,2016-08-11,1439-4847
411,9102,2150.0,2016-08-11,0028-3932
412,9103,2200.0,2016-08-11,0306-4522
413,9104,3300.0,2016-08-11,0161-813X
414,9105,2500.0,2016-08-11,0899-9007
415,9106,1261.1475594405597,2016-08-11,0078-3234
416,9107,1800.0,2016-08-11,0305-0483
417,9108,2000.0,2016-08-11,2352-9520
418,9109,3000.0,2016-08-11,0161-6420
419,9110,1100.0,2016-08-11,0030-4387
420,9111,3000.0,2016-08-11,0990-1310
421,9112,3000.0,2016-08-11,1871-174X
422,9113,3000.0,2016-08-11,1424-3903
423,9114,3000.0,2016-08-11,1674-2001
424,9115,1500.0,2016-08-11,2214-6636
425,9116,2500.0,2016-08-11,0031-3025
426,9117,3000.0,2016-08-11,0928-4680
427,9118,3000.0,2016-08-11,1002-0160
428,9119,3000.0,2016-08-11,0196-9781
429,9120,3000.0,2016-08-11,1734-1140
430,9121,3000.0,2016-08-11,2213-4344
431,9122,1500.0,2016-08-11,2213-5979
432,9123,2500.0,2016-08-11,0031-9406
433,9124,3300.0,2016-08-11,0031-9422
434,9125,2500.0,2016-08-11,0944-7113
435,9126,3300.0,2016-08-11,0143-4004
436,9127,3000.0,2016-08-11,0147-619X
437,9128,3000.0,2016-08-11,1934-1482
438,9129,1800.0,2016-08-11,0304-422X
439,9130,2600.0,2016-08-11,0277-5387
440,9131,3000.0,2016-08-11,0032-3861
441,9132,2500.0,2016-08-11,1434-4610
442,9133,3000.0,2016-08-11,0306-4530
443,9134,3000.0,2016-08-11,0033-3182
444,9135,2500.0,2016-08-11,1078-8174
445,9136,3000.0,2016-08-11,0033-8338
446,9137,1500.0,2016-08-11,0190-0528
447,9138,3000.0,2016-08-11,0300-9572
448,9139,2000.0,2016-08-11,2452-2198
449,9140,3000.0,2016-08-11,1158-1360
450,9141,500.0,2016-08-11,2352-7110
451,9142,3000.0,2016-08-11,0038-0814
452,9143,3000.0,2016-08-11,0039-128X
453,9144,5000.0,2016-08-11,0969-2126
454,9145,2500.0,2016-08-11,2352-0124
455,9146,3000.0,2016-08-11,0039-6060
456,9147,1800.0,2016-08-11,2213-7130
457,9148,1800.0,2016-08-11,0346-251X
458,9149,2600.0,2016-08-11,0039-9140
459,9150,1800.0,2016-08-11,0166-4972
460,9151,2800.0,2016-08-11,0040-1951
461,9152,2150.0,2016-08-11,0040-4020
462,9153,2500.0,2016-08-11,0093-691X
463,9154,2600.0,2016-08-11,0300-483X
464,9155,3300.0,2016-08-11,0041-0101
465,9156,2200.0,2016-08-11,1936-5233
466,9157,2500.0,2016-08-11,1472-9792
467,9158,2600.0,2016-08-11,0304-3991
468,9159,2600.0,2016-08-11,0041-624X
469,9160,3000.0,2016-08-11,0090-4295
470,9161,2150.0,2016-08-11,0264-410X
471,9162,2200.0,2016-08-11,0042-207X
472,9163,2150.0,2016-08-11,0042-6822
473,9164,3000.0,2016-08-11,0043-1648
474,9165,1800.0,2016-08-11,0944-2006
475,9166,1261.1475594405597,2012-01-01,2190-5738
476,9167,1000.0,2012-01-01,1687-0409
477,9168,1261.1475594405597,2012-01-01,1846-0453
478,9169,1261.1475594405597,2012-01-01,0001-527X
479,9170,1261.1475594405597,2012-01-01,1726-569X
480,9171,1261.1475594405597,2012-01-01,1898-0295
481,9172,1261.1475594405597,2012-01-01,1677-941X
482,9173,1261.1475594405597,2012-01-01,1614-7065
483,9174,1261.1475594405597,2012-01-01,1333-9451
484,9175,150.0,2012-01-01,1600-5368
485,9176,1261.1475594405597,2012-01-01,1581-8314
486,9177,1261.1475594405597,2012-01-01,1347-5800
487,9178,1261.1475594405597,2012-01-01,0386-300X
488,9179,1261.1475594405597,2012-01-01,1335-1788
489,9180,1261.1475594405597,2012-01-01,0065-1400
490,9181,1261.1475594405597,2012-01-01,1745-3682
491,9182,1261.1475594405597,2012-01-01,1732-2421
492,9183,1261.1475594405597,2012-01-01,1509-5770
493,9184,1261.1475594405597,2012-01-01,1689-0027
495,9186,1261.1475594405597,2012-01-01,1217-8837
496,9187,800.0,2012-01-01,1563-5031
497,9188,1261.1475594405597,2012-01-01,1280-8571
498,9189,600.0,2012-01-01,1687-627X
499,9190,600.0,2012-01-01,1687-7608
500,9191,600.0,2012-01-01,1687-7489
501,9192,700.0,2012-01-01,1687-7977
502,9193,1000.0,2012-01-01,1687-8035
503,9194,600.0,2012-01-01,1687-8094
504,9195,700.0,2012-01-01,1687-8124
505,9196,600.0,2012-01-01,2090-3367
506,9197,670.0,2012-01-01,1687-1847
507,9198,1261.1475594405597,2012-01-01,1844-7600
508,9199,600.0,2012-01-01,1687-711X
509,9200,1000.0,2012-01-01,1687-9112
510,9201,600.0,2012-01-01,1687-7365
511,9202,600.0,2012-01-01,1687-5907
512,9203,800.0,2012-01-01,1687-8442
513,9204,700.0,2012-01-01,1687-9139
514,9205,600.0,2012-01-01,1687-8140
515,9206,1261.1475594405597,2012-01-01,1898-4002
516,9207,600.0,2012-01-01,1687-9317
517,9208,800.0,2012-01-01,1687-5699
518,9209,600.0,2012-01-01,1687-9570
519,9210,600.0,2012-01-01,1687-9155
520,9211,600.0,2012-01-01,1687-6407
521,9212,800.0,2012-01-01,1687-5648
522,9213,800.0,2012-01-01,2090-3472
523,9214,1000.0,2012-01-01,1687-6342
524,9215,600.0,2012-01-01,1687-7993
525,9216,1261.1475594405597,2012-01-01,1522-1229
526,9217,1261.1475594405597,2012-01-01,2090-1828
527,9218,800.0,2012-01-01,2090-3499
528,9219,600.0,2012-01-01,1687-8663
529,9220,1261.1475594405597,2012-01-01,1687-5923
530,9221,1000.0,2012-01-01,1687-6377
531,9222,600.0,2012-01-01,1687-8647
532,9223,1261.1475594405597,2012-01-01,1868-6869
533,9224,600.0,2012-01-01,1991-637X
534,9225,650.0,2012-01-01,1684-5315
535,9226,550.0,2012-01-01,1993-8233
536,9227,550.0,2012-01-01,1996-0808
537,9228,600.0,2012-01-01,1996-0816
538,9229,1200.0,2012-01-01,1945-4589
539,9230,1261.1475594405597,2012-01-01,1795-1895
540,9231,1261.1475594405597,2012-01-01,1405-3195
542,9233,500.0,2012-01-01,2090-1259
543,9234,1350.0,2012-01-01,2158-3226
544,9235,1261.1475594405597,2012-01-01,1535-7414
545,9236,320.0,2012-01-01,1999-4893
549,9240,2010.0,2012-01-01,2191-0855
550,9241,1261.1475594405597,2012-01-01,1553-6467
551,9242,1261.1475594405597,2012-01-01,0870-8231
552,9243,1261.1475594405597,2012-01-01,1348-2246
553,9244,500.0,2012-01-01,2090-2751
554,9245,1261.1475594405597,2012-01-01,0718-7092
555,9246,500.0,2012-01-01,2090-1275
556,9247,1000.0,2012-01-01,1687-6970
557,9248,1261.1475594405597,2012-01-01,0137-1649
558,9249,1261.1475594405597,2012-01-01,1239-629X
559,9250,1261.1475594405597,2012-01-01,1432-0576
560,9251,1261.1475594405597,2012-01-01,0304-4602
561,9252,160.0,2012-01-01,1898-2263
563,9254,1261.1475594405597,2012-01-01,1544-1717
565,9256,1261.1475594405597,2012-01-01,2037-416X
566,9257,1261.1475594405597,2012-01-01,0972-2327
567,9258,1675.0,2012-01-01,2110-5820
568,9259,1261.1475594405597,2012-01-01,0256-4947
569,9260,1900.0,2012-01-01,1750-1164
570,9261,1261.1475594405597,2012-01-01,2186-1005
571,9262,1261.1475594405597,2012-01-01,1817-1737
572,9263,1261.1475594405597,2012-01-01,2041-2851
573,9264,1261.1475594405597,2012-01-01,1452-8630
574,9265,600.0,2012-01-01,1687-7675
575,9266,400.0,2012-01-01,1687-9732
576,9267,1261.1475594405597,2012-01-01,1785-0037
577,9268,1261.1475594405597,2012-01-01,2190-5517
578,9269,1261.1475594405597,2012-01-01,2190-5533
579,9270,1261.1475594405597,2012-01-01,2190-5495
580,9271,1261.1475594405597,2012-01-01,2191-4281
581,9272,1261.1475594405597,2012-01-01,1472-3654
582,9273,1261.1475594405597,2012-01-01,1821-4339
583,9274,1261.1475594405597,2012-01-01,1349-1717
584,9275,1261.1475594405597,2012-01-01,1846-9558
585,9276,1261.1475594405597,2012-01-01,0373-2029
586,9277,253.0,2012-01-01,1896-9151
587,9278,1261.1475594405597,2012-01-01,1733-3490
588,9279,1625.0,2012-01-01,0778-7367
589,9280,1261.1475594405597,2012-01-01,1551-7012
590,9281,1261.1475594405597,2012-01-01,1678-4162
591,9282,500.0,2012-01-01,2090-1992
592,9283,1845.0,2012-01-01,1478-6354
594,9285,50.0,2012-01-01,1513-7368
596,9287,268.0,2012-01-01,2073-4433
597,9288,1000.0,2012-01-01,1680-7324
598,9289,1261.1475594405597,2012-01-01,1867-8548
599,9290,1261.1475594405597,2012-01-01,1449-5554
600,9291,1625.0,2012-01-01,1743-8462
